"","Object_ID","X_COORD","Y_COORD","NO2conc","HEAVYTRAFMAJOR","DISTINVMAJOR1","DISTINVMAJOR2","INTMAJORINVDIST","INTMAJORINVDIST2","TRAFMAJOR","TRAFNEAR","DISTINVNEAR1","DISTINVNEAR2","INTINVDIST","INTINVDIST2","HEAVYTRAFNEAR","TRAFMAJORLOAD_1000","TRAFMAJORLOAD_500","TRAFMAJORLOAD_300","TRAFMAJORLOAD_100","TRAFMAJORLOAD_50","TRAFMAJORLOAD_25","HEAVYTRAFMAJORLOAD_1000","HEAVYTRAFMAJORLOAD_500","HEAVYTRAFMAJORLOAD_300","HEAVYTRAFMAJORLOAD_100","HEAVYTRAFMAJORLOAD_50","HEAVYTRAFMAJORLOAD_25","MAJORROADLENGTH_1000","MAJORROADLENGTH_500","MAJORROADLENGTH_300","MAJORROADLENGTH_100","MAJORROADLENGTH_50","MAJORROADLENGTH_25","HEAVYTRAFLOAD_1000","HEAVYTRAFLOAD_500","HEAVYTRAFLOAD_300","HEAVYTRAFLOAD_100","HEAVYTRAFLOAD_50","HEAVYTRAFLOAD_25","ROADLENGTH_1000","ROADLENGTH_500","ROADLENGTH_300","ROADLENGTH_100","ROADLENGTH_50","ROADLENGTH_25","TRAFLOAD_1000","TRAFLOAD_500","TRAFLOAD_300","TRAFLOAD_100","TRAFLOAD_50","TRAFLOAD_25","HDRES_5000","HDRES_1000","HDRES_500","HDRES_300","HDRES_100","LDRES_5000","LDRES_1000","LDRES_500","LDRES_300","LDRES_100","INDUSTRY_5000","INDUSTRY_1000","INDUSTRY_500","INDUSTRY_300","INDUSTRY_100","PORT_5000","PORT_1000","PORT_500","PORT_300","PORT_100","URBGREEN_5000","URBGREEN_1000","URBGREEN_500","URBGREEN_300","URBGREEN_100","NATURAL_5000","NATURAL_1000","NATURAL_500","NATURAL_300","NATURAL_100","POP_5000","POP_1000","POP_500","POP_300","POP_100","HHOLD_5000","HHOLD_1000","HHOLD_500","HHOLD_300","HHOLD_100"
"10",12,413373,434829,32.11,297.769,0.00387902211379036,0.0000150468125592746,33.1187931465133,0.128468530997374,8537.9232639,1879.02116969,0.138850877687004,0.0192795662344514,260.903738603918,36.2267130969748,57.9608,45925440.8290324,12559425.1224261,0,0,0,0,1494770.46487803,407802.784372878,0,0,0,0,5819.02856905905,1506.07854984506,0,0,0,0,2866966.43752977,709690.80891464,151634.745311861,18332.097428339,5969.47020641957,2742.846957681,38875.3231661643,9623.05755572627,4030.28334268794,399.008244229086,104.648522865377,47.3224482353763,95468956.5841325,23517123.2283766,5359627.21932185,621800.398209569,194073.977756276,88919.8820358313,622587.507831873,0,0,0,0,43057196.7423268,2264507.11491805,632208.193347883,230717.419789439,30901.6994383975,1965280.61161964,292680.250051558,140334.292598687,47397.875147971,0,0,0,0,0,0,26295327.1318561,0,0,0,0,2432211.70318046,0,0,0,0,231999,16583,3602,1643,317,85452,4973,1038,517,85
"11",13,412643,434233,43.04,193.875,0.00309148535387618,0.00000955728169323092,20.069703164476,0.0620451933896201,6491.92891673,7839.91663239,0.108342186142635,0.0117380292981655,849.393707129141,92.0251711261687,237.92,24139608.4608885,10051820.012829,5611139.17261164,2106294.26286533,778572.137035143,364448.309440653,723613.522298299,298449.774289316,167032.594000606,63049.3156787356,23627.5322212108,11060.0081413987,4083.81275287187,1643.53866606777,893.809512735278,316.387757532057,99.3087265518275,46.4862480724557,1829285.00971231,547886.687789385,263229.911660841,65897.0245935684,23627.5322212108,11060.0081413987,34903.2502142484,8748.80869584627,3397.28026552516,470.774952623054,99.3087265518275,46.4862480724557,65158365.5000094,19504072.8886565,9241800.6156469,2233597.92763561,778572.137035143,364448.309440653,619775.430291515,0,0,0,0,38399086.3231481,2362153.38686446,692261.125800303,257647.427619131,30901.6994383975,1875190.32789185,225214.779927872,0,0,0,0,0,0,0,0,22252386.8913452,0,0,0,0,2145610.2348965,0,0,0,0,209448,10806,2645,957,67,77178,4110,992,346,21
"12",14,411569,433499,29.79,237.92,0.108342186142635,0.0117380292981655,849.393707129141,92.0251711261687,7839.91663239,2013.93785751,0.0828939615883714,0.00687140886781439,166.943287401801,13.8385904533213,63.0168,28858576.5460301,2443204.01321989,0,0,0,0,921422.1707171,73490.4984750117,0,0,0,0,3969.79993954872,347.472196417489,0,0,0,0,1872679.41405004,373491.917452762,149817.371970908,24862.8139951634,8053.50634242017,4052.0878123526,31548.8435784349,9135.67560541307,4653.18024976507,614.960255707752,155.371112217517,75.7026696414293,63437966.0882934,13461812.1586361,5544378.06332159,867845.04439486,266544.008633274,133288.97192081,318187.72226957,0,0,0,0,32262175.1988766,1860996.98095204,498114.382719513,248747.61969024,30901.6994383975,1646017.83709624,0,0,0,0,0,0,0,0,0,12688188.0075079,0,0,0,0,2129523.13820785,0,0,0,0,181605,8497,2027,1148,88,65664,3555,888,549,59
"13",15,412277,432084,41.13,211.631,0.00267712723007225,0.00000716701020599431,18.8345645428495,0.0504225256042156,7035.36400186,6145.21709346,0.075199358264162,0.00565494348334179,462.116381822151,34.7508553563822,182.546,9177252.72807078,2763906.7113601,1918452.45234403,1190341.39971517,587654.790674064,257444.337288563,291207.888724574,82462.4414367016,57326.2891516202,35371.4571218919,17457.2170591039,7647.48149332147,1337.79224248867,430.060000586493,293.664570540799,193.046913152614,95.5890356221183,41.89344873797,1261070.0093595,447539.453419142,172828.70335328,46429.1942746129,20584.1731924999,8348.92533888388,28170.3354373894,9553.80762582523,2976.22809450861,497.570242882752,187.965878558483,62.6155712065788,43850225.2287497,15757208.861883,6086252.08887069,1588985.05982827,701799.264126228,283049.409759161,473530.547788705,0,0,0,0,34945956.4952447,1804097.79900051,649570.671354589,246113.679995374,30901.6994383975,1728862.53950427,0,0,0,0,0,0,0,0,0,17780256.6122842,0,0,0,0,827750.542951164,0,0,0,0,187680,8755,2950,931,52,67753,3365,1215,432,25
"14",16,412413,431258,28.79,182.546,0.075199358264162,0.00565494348334179,462.116381822151,34.7508553563822,6145.21709346,830.592780412,0.509141038964636,0.259224597557989,422.888871175492,215.310079236872,29.0184,44513562.2864891,0,0,0,0,0,1646758.07246944,0,0,0,0,0,4236.43706992389,0,0,0,0,0,3010922.78679574,201596.747632173,53756.1225075228,6132.00869884065,2967.29407745202,1454.43998442486,41321.3128975392,6275.05241594904,1822.13884831191,211.314500414932,102.255606010394,50.1213018093646,93187373.4720089,7254830.55486925,1866374.20143808,175516.298441011,84932.7681088873,41630.3914277091,415313.491477459,0,0,0,0,34797580.3695975,2298317.4024285,345754.730317033,100222.307437624,2559.09084527214,1850329.73619653,0,0,0,0,0,0,0,0,0,15838262.182381,0,0,0,0,1008092.83022197,0,0,0,0,188629,11710,2075,778,511,68370,4646,641,118,3
"15",18,414193,430445,29.93,588,0.00185208689795564,0.00000343022587757895,26.8256266299895,0.0496833916108535,14484,1232.69908535,0.132159404582282,0.0174661082195432,162.912777148979,21.530455626855,33.7398,58129715.324934,22356218.6435054,9455386.2391779,211426.431697017,0,0,1979040.69213532,709958.068294013,302616.274984636,6210.92298734844,0,0,6124.78519565763,2632.9318132205,1037.70060901418,38.2170664444239,0,0,3680294.09578017,1087296.47788109,449376.386791693,17846.8039849195,3318.6473681334,1587.11231913755,48473.9952557988,13153.8128544273,5443.04226547347,429.423926674619,98.3600189726495,47.0397666594807,118018890.351239,35986306.9361048,14835808.9001791,651949.601346594,121248.305422594,57985.8773362193,622587.507831873,0,0,0,0,40714631.3440984,2816840.7144758,694430.689965719,277679.674190592,30901.6994383975,3366260.44488228,0,0,0,0,0,0,0,0,0,18106825.4429495,273329.229271247,78111.7959809674,435.620746979233,0,826098.496122696,0,0,0,0,211865,16206,4351,1910,196,76934,6689,1758,780,69
"16",20,411871,429338,28.9,162.517,0.0102381426684433,0.000104819565299399,56.639982420989,0.579888220764205,5532.25172331,2696.01344963,0.112312831511746,0.0126141721221859,302.796904321696,34.0079776973611,73.5291,19856966.1851119,1443009.79687727,336923.211059798,0,0,0,755121.720223589,42282.1358647553,9804.83111392965,0,0,0,1590.01214531465,266.759918694243,65.9818108730856,0,0,0,1138020.40200837,134789.923525059,62542.8138346134,16529.5764201186,7686.05105569706,3487.32128270864,12967.2099729991,2892.61152092263,1325.22843287792,387.814913488742,168.095057481501,60.0115767982079,33587580.1632237,4802503.88667089,2185277.26025942,580479.659128056,271035.03171362,125231.345159461,0,0,0,0,0,31961913.2578701,682598.216894572,38850.8063685642,2850.39186964312,0,1214851.14447428,0,0,0,0,0,0,0,0,0,7564597.93837572,0,0,0,0,2180360.14190949,0,0,0,0,166914,2309,283,21,NA,64954,952,122,7,NA
"17",21,417555,431970,63.75,148.599,0.00432378590528477,0.0000186951245547392,22.0785669848578,0.0954629967380139,5106.30439816,17830,0.083874032091205,0.00703485325923649,1495.47399218619,125.431433612187,1239.5,116562937.765422,37397992.7053417,23198840.5304557,6953776.82410091,3259210.05031725,899631.071933497,6399234.84631406,2599821.19788396,1612729.26738642,483410.340632253,226572.678483917,62540.2531498356,7052.52469739137,2097.47575464619,1301.1127611024,390.004308698873,182.793609103603,50.4560331987379,7452146.79516164,3003968.94457419,1791929.58611881,494418.720097757,228333.783217051,62540.2531498356,28601.987403122,10881.0102073682,5464.76682302911,715.016532669793,236.862381199039,50.4560331987379,152454125.907875,51101837.0126228,29364577.6019828,7355554.03832471,3324175.05425313,899631.071933497,622587.507831873,0,0,0,0,45550691.3989308,2852981.780335,772542.485946437,278115.294937413,30901.6994383975,3563618.07092551,4744.78965021774,0,0,0,0,0,0,0,0,45966801.5784611,232443.373761748,0,0,0,1209318.82134857,0,0,0,0,245257,5662,3133,1651,169,88877,2240,1294,741,67
"18",22,416319,432156,63.73,1239.5,0.083874032091205,0.00703485325923649,1495.47399218619,125.431433612187,17830,16879,0.104855258381832,0.0109946252103207,1769.85190622694,185.578278925003,745.5,197942151.875396,50928142.8912732,20221279.5687173,6486325.85539706,2989924.55720982,773053.153019542,8108188.84036473,2035860.12778028,892439.054307963,286483.555020944,132056.920279633,34143.6770884572,13698.1461039626,3743.01693211464,1198.46176458129,384.283776017362,177.138726062552,45.7997009905529,9861214.72601,2469093.55245712,1031744.84915274,298372.425674808,134952.682903424,34143.6770884572,50740.3634838154,13077.8910864535,4339.63044322986,611.726549457815,228.961351841354,45.7997009905529,258506795.550531,65601164.9443418,24990013.3073342,6879168.89328792,3084420.6668683,773053.153019542,622587.507831873,4641.41910509034,0,0,0,49301221.2333273,3076773.98886802,772542.485946437,278115.294937413,30901.6994383975,3594887.1092738,0,0,0,0,0,0,0,0,0,34826803.6799865,8754.53577433595,0,0,0,801351.441384323,0,0,0,0,262980,12157,2846,1086,56,95157,4092,1337,591,36
"19",23,416767,432910,51.46,745.5,0.104855258381832,0.0109946252103207,1769.85190622694,185.578278925003,16879,1901.43914401,0.0959868546744415,0.00921347627029235,182.513162788382,17.5188644327411,58.8009,287217925.991231,106913710.487238,57508230.7737857,0,0,0,11525351.1579925,4523615.82766979,2418330.66135279,0,0,0,19173.0904894224,6283.77546573816,3232.39969372063,0,0,0,13442350.5237981,4935709.36360949,2536193.86400541,22244.4193123739,7043.79175409639,2981.9161582935,56331.9633198104,14794.2151911027,6059.00955203625,477.10340354581,162.155674585828,67.8414844628424,353013576.291219,121255171.620695,61592827.6625049,752155.099958489,241855.557813229,102119.336756919,622587.507831873,529297.943398219,170454.725937545,29022.1780882063,0,50899363.5328614,2560872.00034882,602087.76000912,249093.116849537,30901.6994383975,3517720.05387821,0,0,0,0,0,0,0,0,0,50557736.9589837,0,0,0,0,984397.03083637,0,0,0,0,268762,6166,227,55,NA,97831,2549,155,44,NA
"20",26,417754,433738,36.83,288,0.00867198898403525,0.0000752033929392288,47.6916034177019,0.413581059469289,5499.5,1896.86134622,0.0951313745314203,0.00904997842023737,180.451027161429,17.1665542494734,58.6294,149725370.862743,8871517.13973919,4257023.7213342,0,0,0,5886798.65729962,304522.216041409,146182.290609712,0,0,0,9289.05063273603,910.953669103372,438.604686463528,0,0,0,7405021.43828508,654824.569759483,270866.727480044,24552.8471866901,8765.47423736937,2644.13536741401,44994.813939222,8695.3543909211,3374.8003959893,564.383687540118,150.875622287916,45.0991374193495,202083952.785896,20806445.0663554,8560063.75116045,842763.570705883,284048.165306471,85546.8105186281,622587.507831873,219874.092204612,0,0,0,49609108.0005641,2476491.54119052,534513.414283783,180656.37663724,22226.3150056253,2794618.98565574,0,0,0,0,0,0,0,0,0,40229500.8334758,393804.310352322,0,0,0,2606918.4800567,0,0,0,0,261090,21695,5865,1925,425,95809,6639,1660,587,102
"21",27,417234,434674,31.14,288,0.00867198898403525,0.0000752033929392288,47.6916034177019,0.413581059469289,5499.5,1594.58979824,0.355412591037691,0.126318109868125,566.737291834747,201.425569328671,47.3017,119149302.702452,25114700.0859742,2929869.75470414,0,0,0,4207055.70406605,692290.645865588,113341.992777984,0,0,0,9826.34813972171,2248.66638389005,207.586067358944,0,0,0,5573264.80879812,964855.149278261,208336.202253756,11396.5480850871,6170.58188289701,2902.59381883726,42178.7867611041,8066.08888898866,2500.05747195718,260.493600337848,138.936167753023,63.8237542709976,166531387.428131,34350261.3474591,6226688.3823953,390691.0264813,210836.877957396,98667.2432086946,622587.507831873,0,0,0,0,49981306.5329059,2602990.27218103,538541.612671427,155932.4269702,25427.9985656615,2654443.05941159,55158.1075398159,0,0,0,0,0,0,0,0,34255511.9381483,525399.664641151,234000.873275064,122182.867967283,5473.70087270138,4535613.76398416,0,0,0,0,261930,14756,2462,1223,251,96175,5615,949,470,104
